# x,vel,ConcOrig,Conc,Conc_CD,Conc_N_CD,Conc_N_SPH,Conc_UP,Conc_N_UP
0.000000000000000000e+00,1.863326586039335469e-07,0.000000000000000000e+00,1.928749847963917821e-22,1.928749847963917821e-22,1.928749847963917821e-22,1.631389411591184076e-22,1.631028366995596480e-22,1.928749847963917821e-22,1.631389411591162682e-22
1.000000000000000021e-03,1.910473042079011343e-07,0.000000000000000000e+00,2.355309275139791097e-22,2.355309275139791097e-22,2.355309275139791097e-22,1.992185050094421176e-22,1.991744157416883472e-22,2.355309275139791097e-22,1.992185050094384500e-22
2.000000000000000042e-03,1.958763442391553358e-07,0.000000000000000000e+00,2.875055693946052987e-22,2.875055693946052987e-22,2.875055693946052987e-22,2.431800796661063274e-22,2.431262612136274454e-22,2.875055693946052987e-22,2.431800796661045406e-22
3.000000000000000062e-03,2.008224257076074890e-07,0.000000000000000000e+00,3.508091108710710107e-22,3.508091108710710107e-22,3.508091108710710107e-22,2.967239476746739664e-22,2.966582793695286697e-22,3.508091108710710107e-22,2.967239476746742485e-22
4.000000000000000083e-03,2.058882536080242990e-07,0.000000000000000000e+00,4.278797644175396947e-22,4.278797644175396947e-22,4.278797644175396947e-22,3.619124158800534254e-22,3.618323206428869682e-22,4.278797644175396947e-22,3.619124158800505572e-22
5.000000000000000104e-03,2.110765921102940464e-07,0.000000000000000000e+00,5.216736662027075227e-22,5.216736662027075227e-22,5.216736662027075227e-22,4.412458651636266069e-22,4.411482125530274554e-22,5.216736662027075227e-22,4.412458651636211526e-22
6.000000000000000125e-03,2.163902657722500520e-07,0.000000000000000000e+00,6.357734135491351362e-22,6.357734135491351362e-22,6.357734135491351362e-22,5.377545543970677427e-22,5.376355433416785306e-22,6.357734135491351362e-22,5.377545543970639811e-22
7.000000000000000146e-03,2.218321607754258097e-07,0.000000000000000000e+00,7.745190312479510661e-22,7.745190312479510661e-22,7.745190312479510661e-22,6.551093953358546004e-22,6.549644123507801884e-22,7.745190312479510661e-22,6.551093953358549766e-22
8.000000000000000167e-03,2.274052261841331999e-07,0.000000000000000000e+00,9.431659347155081827e-22,9.431659347155081827e-22,9.431659347155081827e-22,7.977555621806961879e-22,7.975790100146096081e-22,9.431659347155081827e-22,7.977555621806906396e-22
9.000000000000001055e-03,2.331124752282677881e-07,0.000000000000000000e+00,1.148075374388599463e-21,1.148075374388599463e-21,1.148075374388599463e-21,9.710735746594262315e-22,9.708586652922496740e-22,1.148075374388599463e-21,9.710735746594132540e-22
1.000000000000000021e-02,2.389569866102323293e-07,0.000000000000000000e+00,1.396943943147109067e-21,1.396943943147109067e-21,1.396943943147109067e-21,1.181573421686817555e-21,1.181311926365593149e-21,1.396943943147109067e-21,1.181573421686798747e-21
1.099999999999999936e-02,2.449419058363897633e-07,0.000000000000000000e+00,1.699080042089982543e-21,1.699080042089982543e-21,1.699080042089982543e-21,1.437128403684706930e-21,1.436810351207683336e-21,1.699080042089982543e-21,1.437128403684702792e-21
1.200000000000000025e-02,2.510704465734660951e-07,0.000000000000000000e+00,2.065736771549098632e-21,2.065736771549098632e-21,2.065736771549098632e-21,1.747256700912914102e-21,1.746870013599333648e-21,2.065736771549098632e-21,1.747256700912928020e-21
1.300000000000000114e-02,2.573458920303098422e-07,0.000000000000000000e+00,2.510512593659447653e-21,2.510512593659447653e-21,2.510512593659447653e-21,2.123460264837284993e-21,2.122990319496748336e-21,2.510512593659447653e-21,2.123460264837285369e-21
1.400000000000000029e-02,2.637715963654435289e-07,0.000000000000000000e+00,3.049833359432182954e-21,3.049833359432182954e-21,3.049833359432182954e-21,2.579632529821097381e-21,2.579061628491912774e-21,3.049833359432182954e-21,2.579632529821100015e-21
1.499999999999999944e-02,2.703509861208359324e-07,0.000000000000000000e+00,3.703531977652371040e-21,3.703531977652371040e-21,3.703531977652371040e-21,3.132548712944580130e-21,3.131855445123164856e-21,3.703531977652371040e-21,3.132548712944566212e-21
1.600000000000000033e-02,2.770875616823292386e-07,0.000000000000000000e+00,4.495545208918590530e-21,4.495545208918590530e-21,4.495545208918590530e-21,3.802455181474899325e-21,3.801613655911769372e-21,4.495545208918590530e-21,3.802455181474832368e-21
1.700000000000000122e-02,2.839848987671710931e-07,0.000000000000000000e+00,5.454750895420932238e-21,5.454750895420932238e-21,5.454750895420932238e-21,4.613777604727374647e-21,4.612756524501135101e-21,5.454750895420932238e-21,4.613777604727360353e-21
1.800000000000000211e-02,2.910466499390950221e-07,0.000000000000000000e+00,6.615973503989091339e-21,6.615973503989091339e-21,6.615973503989091339e-21,5.595971469897692133e-21,5.594733019260486797e-21,6.615973503989091339e-21,5.595971469897698151e-21
1.899999999999999953e-02,2.982765461514117572e-07,0.000000000000000000e+00,8.021191307063059279e-21,8.021191307063059279e-21,8.021191307063059279e-21,6.784543148767419988e-21,6.783041654017010783e-21,8.021191307063059279e-21,6.784543148767483183e-21
2.000000000000000042e-02,3.056783983185706602e-07,0.000000000000000000e+00,9.720985020300780347e-21,9.720985020300780347e-21,9.720985020300780347e-21,8.222275195042224256e-21,8.220455514221942026e-21,9.720985020300780347e-21,8.222275195042204696e-21
2.100000000000000130e-02,3.132560989166597115e-07,0.000000000000000000e+00,1.177627545432383289e-20,1.177627545432383289e-20,1.177627545432383289e-20,9.960696097757692447e-21,9.958491685084122687e-21,1.177627545432383289e-20,9.960696097757666869e-21
