# x,vel,ConcOrig,Conc,Conc_CD,Conc_N_CD,Conc_N_SPH,Conc_UP,Conc_N_UP
0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00,1.928749847963917821e-22,1.928749847963917821e-22,1.928749847963917821e-22,1.834684066552409462e-22,1.834685466291847241e-22,1.928749847963917821e-22,1.834684066552428975e-22
1.000000000000000021e-03,5.001000000000000584e-02,0.000000000000000000e+00,2.355309275139791097e-22,2.355309275139791097e-22,2.355309275139791097e-22,2.240440046418603620e-22,2.240441755722252772e-22,2.355309275139791097e-22,2.240440046418576819e-22
2.000000000000000042e-03,5.002000000000000196e-02,0.000000000000000000e+00,2.875055693946052987e-22,2.875055693946052987e-22,2.875055693946052987e-22,2.734838256864700940e-22,2.734840343360671756e-22,2.875055693946052987e-22,2.734838256864682133e-22
3.000000000000000062e-03,5.003000000000000502e-02,0.000000000000000000e+00,3.508091108710710107e-22,3.508091108710710107e-22,3.508091108710710107e-22,3.337000320679326334e-22,3.337002866584080432e-22,3.508091108710710107e-22,3.337000320679359718e-22
4.000000000000000083e-03,5.003999999999999421e-02,0.000000000000000000e+00,4.278797644175396947e-22,4.278797644175396947e-22,4.278797644175396947e-22,4.070119238146789430e-22,4.070122343371528876e-22,4.278797644175396947e-22,4.070119238146822344e-22
5.000000000000000104e-03,5.004999999999999727e-02,0.000000000000000000e+00,5.216736662027075227e-22,5.216736662027075227e-22,5.216736662027075227e-22,4.962314653361939208e-22,4.962318439271272263e-22,5.216736662027075227e-22,4.962314653361975883e-22
6.000000000000000125e-03,5.006000000000000033e-02,0.000000000000000000e+00,6.357734135491351362e-22,6.357734135491351362e-22,6.357734135491351362e-22,6.047665294737861368e-22,6.047669908696088021e-22,6.357734135491351362e-22,6.047665294737950705e-22
7.000000000000000146e-03,5.006999999999999645e-02,0.000000000000000000e+00,7.745190312479510661e-22,7.745190312479510661e-22,7.745190312479510661e-22,7.367454765439468728e-22,7.367460386307383181e-22,7.745190312479510661e-22,7.367454765439517629e-22
8.000000000000000167e-03,5.007999999999999952e-02,0.000000000000000000e+00,9.431659347155081827e-22,9.431659347155081827e-22,9.431659347155081827e-22,8.971674135784208009e-22,8.971680980562730844e-22,9.431659347155081827e-22,8.971674135784307691e-22
9.000000000000001055e-03,5.009000000000000258e-02,0.000000000000000000e+00,1.148075374388599463e-21,1.148075374388599463e-21,1.148075374388599463e-21,1.092083350682075007e-21,1.092084183867547899e-21,1.148075374388599463e-21,1.092083350682084223e-21
1.000000000000000021e-02,5.009999999999999870e-02,0.000000000000000000e+00,1.396943943147109067e-21,1.396943943147109067e-21,1.396943943147109067e-21,1.328814515300941578e-21,1.328815529096228408e-21,1.396943943147109067e-21,1.328814515300940261e-21
1.099999999999999936e-02,5.011000000000000176e-02,0.000000000000000000e+00,1.699080042089982543e-21,1.699080042089982543e-21,1.699080042089982543e-21,1.616215334668962438e-21,1.616216567731565842e-21,1.699080042089982543e-21,1.616215334668970149e-21
1.200000000000000025e-02,5.011999999999999789e-02,0.000000000000000000e+00,2.065736771549098632e-21,2.065736771549098632e-21,2.065736771549098632e-21,1.964990091614750852e-21,1.964991590768848056e-21,2.065736771549098632e-21,1.964990091614788844e-21
1.300000000000000114e-02,5.013000000000000095e-02,0.000000000000000000e+00,2.510512593659447653e-21,2.510512593659447653e-21,2.510512593659447653e-21,2.388074046682881724e-21,2.388075868621312663e-21,2.510512593659447653e-21,2.388074046682899404e-21
1.400000000000000029e-02,5.014000000000000401e-02,0.000000000000000000e+00,3.049833359432182954e-21,3.049833359432182954e-21,3.049833359432182954e-21,2.901091956583756630e-21,2.901094169920048695e-21,3.049833359432182954e-21,2.901091956583794622e-21
1.499999999999999944e-02,5.015000000000000013e-02,0.000000000000000000e+00,3.703531977652371040e-21,3.703531977652371040e-21,3.703531977652371040e-21,3.522909472443597937e-21,3.522912160184414658e-21,3.703531977652371040e-21,3.522909472443555807e-21
1.600000000000000033e-02,5.016000000000000320e-02,0.000000000000000000e+00,4.495545208918590530e-21,4.495545208918590530e-21,4.495545208918590530e-21,4.276295950963217135e-21,4.276299213486854729e-21,4.495545208918590530e-21,4.276295950963261521e-21
1.700000000000000122e-02,5.017000000000000626e-02,0.000000000000000000e+00,5.454750895420932238e-21,5.454750895420932238e-21,5.454750895420932238e-21,5.188720852217307267e-21,5.188724810859200671e-21,5.454750895420932238e-21,5.188720852217320057e-21
1.800000000000000211e-02,5.018000000000000238e-02,0.000000000000000000e+00,6.615973503989091339e-21,6.615973503989091339e-21,6.615973503989091339e-21,6.293310242028250314e-21,6.293315043396899814e-21,6.615973503989091339e-21,6.293310242028313508e-21
1.899999999999999953e-02,5.019000000000000544e-02,0.000000000000000000e+00,8.021191307063059279e-21,8.021191307063059279e-21,8.021191307063059279e-21,7.629995098313411415e-21,7.630000919481810318e-21,8.021191307063059279e-21,7.629995098313367781e-21
2.000000000000000042e-02,5.019999999999999463e-02,0.000000000000000000e+00,9.720985020300780347e-21,9.720985020300780347e-21,9.720985020300780347e-21,9.246889298147263152e-21,9.246896352896186389e-21,9.720985020300780347e-21,9.246889298147294750e-21
2.100000000000000130e-02,5.020999999999999769e-02,0.000000000000000000e+00,1.177627545432383289e-20,1.177627545432383289e-20,1.177627545432383289e-20,1.120194252364480144e-20,1.120195106996660780e-20,1.177627545432383289e-20,1.120194252364478188e-20
