# Position, FD Concentration, SPH Concentration
1.563126252505009917e-01,4.657496317262529402e-11,3.959284021725728864e-11
1.603206412825651239e-01,8.032451498533145339e-11,6.846948445628956000e-11
1.643286573146292562e-01,1.376541368966463557e-10,1.176734981855107966e-10
1.683366733466933607e-01,2.344101011382806570e-10,2.009820366546603596e-10
1.723446893787574929e-01,3.966519674240829628e-10,3.411369280043275583e-10
1.763527054108216252e-01,6.669441677512539184e-10,5.754256920376298596e-10
1.803607214428857575e-01,1.114336263506762504e-09,9.645729100557290673e-10
1.843687374749498897e-01,1.850079164750477233e-09,1.606802888446516061e-09
1.883767535070140220e-01,3.052192860509203188e-09,2.659919333431375309e-09
1.923847695390781265e-01,5.003588598557156359e-09,4.375718602808753220e-09
1.963927855711422588e-01,8.150786770877387187e-09,7.153230896153228404e-09
2.004008016032063910e-01,1.319368591674781802e-08,1.162047990762642817e-08
2.044088176352705233e-01,2.122177868685775804e-08,1.875910028677650541e-08
2.084168336673346555e-01,3.391929470815794686e-08,3.009285253714861960e-08
2.124248496993987878e-01,5.387181431877146734e-08,4.797064269365664650e-08
2.164328657314629201e-01,8.502105995963797683e-08,7.598818755609407908e-08
2.204408817635270246e-01,1.333343112992380902e-07,1.196114248353610460e-07
2.244488977955911568e-01,2.077821310573107516e-07,1.870910644261915474e-07
2.284569138276552891e-01,3.217553028848952623e-07,2.907937841928170850e-07
2.324649298597194214e-01,4.951021954479109708e-07,4.491246364494369223e-07
2.364729458917835536e-01,7.570350621945802388e-07,6.892811853844581426e-07
2.404809619238476859e-01,1.150242803000412040e-06,1.051167576175267743e-06
2.444889779559117904e-01,1.736664114293607331e-06,1.592911963528672347e-06
2.484969939879759226e-01,2.605525344459827410e-06,2.398580345158069010e-06
2.525050100200400549e-01,3.884439244402195044e-06,3.588871686455843965e-06
2.565130260521041872e-01,5.754602369644337483e-06,5.335821956812510676e-06
2.605210420841683194e-01,8.471428753528939377e-06,7.882847526241485673e-06
2.645290581162324517e-01,1.239232409877884498e-05,1.157183050508180805e-05
2.685370741482965840e-01,1.801374567767591916e-05,1.687939848748033018e-05
2.725450901803607162e-01,2.602021393820787276e-05,2.446508533771920153e-05
2.765531062124248485e-01,3.734854460323950117e-05,3.523468133507908292e-05
2.805611222444889807e-01,5.327125171399093098e-05,5.042278812733012779e-05
2.845691382765530575e-01,7.550382211254752474e-05,7.169937697118552858e-05
2.885771543086171897e-01,1.063413599168694374e-04,1.013059879202877377e-04
2.925851703406813220e-01,1.488309126783728695e-04,1.422280701173972883e-04
2.965931863727454543e-01,2.069865708516601993e-04,1.984108001890304805e-04
3.006012024048095865e-01,2.860551127551888779e-04,2.750264589527719379e-04
3.046092184368737188e-01,3.928404621799571066e-04,3.788020068685612443e-04
3.086172344689378511e-01,5.360954278969875869e-04,5.184157637105905794e-04
3.126252505010019833e-01,7.269889753423697211e-04,7.049719328336259737e-04
3.166332665330661156e-01,9.796564938861483142e-04,9.525609594973528547e-04
